text,labels
"와~ 정말 대단하시네요^^ 덕분에 야근합니다.",1
"그렇게 깊은 뜻이 있는 줄은 꿈에도 몰랐네.",1
"참 좋으시겠어요. 저는 못해서 부럽네요.",1
"아이고 제가 감히 어떻게 그런 걸 부탁드리겠어요.",1
"퍽이나 재미있겠다.",1
"잘~한다 아주.",1
"너 진짜 똑똑하다. 이걸 이렇게 푸네.",1
"오늘 패션 정말 파격적이네요.",1
"이번 기획안 덕분에 일이 아주 술술 풀리겠어요.",1
"어련하시겠어요.",1
"제가 뭘 알겠습니까. 다 알아서 해주시는데.",1
"정말 창의적인 생각이시네요.",1
"아주 공정하고 합리적인 결과네요.",1
"그거 참 신박한 변명이네.",1
"걱정해줘서 정말 고마워 죽겠다.",1
"생각보다 잘하는데? 좀 놀랐어.",1
"역시 전문가라 다르시네요. 처리 속도가 남다르세요.",1
"그렇게까지 신경 써주실 줄은 몰랐어요.",1
"제 의견이 뭐 중요하겠습니까. 알아서 하시죠.",1
"몸은 괜찮고? 할 일이 산더미인데 아프면 안되지.",1
"아주 훌륭한 소통 방식입니다.",1
"그렇게 일찍 퇴근하시니 정말 보기 좋습니다.",1
"참 배울 점이 많은 분이세요.",1
"그건 미처 생각도 못 한 부분이네요. 하하.",1
"의욕이 아주 넘치시는군요.",1
"덕분에 일이 편해졌어요. 정말로요.",1
"하나만 알고 둘은 모르는구나.",1
"참 순진해서 좋겠다.",1
"그게 자랑이라고 하는 소리야?",1
"기대했던 그대로네요.",1
"회의 때마다 저렇게 기발한 아이디어를 내주시니 정말 존경스럽습니다.",1
"제가 뭘 알겠어요. 전문가님이 시키는 대로 해야죠.",1
"참 효율적인 업무 방식이네요. 덕분에 일이 두 배로 늘었어요.",1
"네네, 아주 잘 들었습니다. 그래서 결론이 뭐라고요?",1
"그렇게까지 솔직하게 말씀해주실 줄은 몰랐네요.",1
"참 시간 개념이 철저하신 분 같아요.",1
"이 프로젝트가 성공한 건 다 자기 덕분이라고 생각하나 봐.",1
"와, 너 패션 센스 정말 독보적이다.",1
"이야~ 게임 천재 납셨네. 버스 태워줘서 고맙다 진짜.",1
"너의 그 자신감은 대체 어디서 나오는 거니? 좀 배워야겠다.",1
"참 일찍도 온다. 부지런해서 좋겠어.",1
"오늘따라 얼굴에서 빛이 나네. 어제 잠 못 잤어?",1
"운동 신경 하나는 타고났네. 공이 널 피해서 가잖아.",1
"퍽이나 감동적이겠다. 눈물이 앞을 가리네.",1
"넌 입만 열면 아주 청산유수야.",1
"그렇게 돈 아껴서 나중에 부자 되겠다.",1
"그렇게 깊은 뜻이 담긴 선물일 줄은 몰랐지.",1
"넌 정말 못하는 게 없구나?",1
"와! 이걸 이렇게 살리네. 역시 프로는 달라.",1
"이걸로 맛있는 거 사 드시고 다음엔 꼭 이겨주세요 ^^",1
"아~ 그래서 일부러 져주신 거구나. 깊은 뜻도 모르고.",1
"텐션 무슨 일이야. 방송하기 싫으면 그냥 꺼도 돼.",1
"와! 신기록! 이렇게 빨리 죽는다고?",1
"오늘 방송 날로 먹네.",1
"목소리만 들어도 피곤한 게 느껴지네요.",1
"시청자랑 기 싸움하는 스트리머는 처음 보네.",1
"초심 많이 잃었네.",1
"와, 정말 재밌다. 배꼽 빠지는 줄.",1
"배송이 총알배송이네요. 주문한 걸 잊을 때쯤 오네.",1
"와~ 사진이랑 정말 똑같네요. 제가 다른 상품을 본 줄 알았어요.",1
"사이즈가 아주 넉넉하게 잘 나왔네요. 두 명은 들어가겠어요.",1
"이 가격에 많은 걸 바라면 안되겠죠?",1
"생각했던 것과 좀 다르지만 잘 써볼게요.",1
"A/S 정책이 아주 훌륭하네요. 연락이 안 되는 것만 빼면요.",1
"정말 가볍고 좋네요. 안에 뭐가 빠진 건 아니겠죠?",1
"디자인은 참 예쁘네요. 디자인만요.",1
"설명서가 정말 친절하네요. 전부 영어랑 중국어인 것만 빼면 완벽해요.",1
"제품 퀄리티가 기대를 저버리지 않네요.",1
"돈 버리는 좋은 경험 했습니다.",1
"와, 우리 팀 에이스네. 적팀 에이스.",1
"판단력 정말 대단하다. 어떻게 거기서 그런 생각을 하지?",1
"그렇게 죽어주는 것도 능력이야.",1
"맵은 장식으로 달고 다니는 거야?",1
"궁(필살기)은 아껴서 뭐해? 엔딩 영상에 쓰려고?",1
"와, 그걸 사네. 아이템 빌드 정말 창의적이다.",1
"채팅은 잘 치네.",1
"이기려고 하는 거 맞지?",1
"색감이 화면이랑 똑같아서 놀랐어요. 혹시 필터 어떤 거 쓰세요?",1
"문의 답변을 정말 친절하고 빠르게 해주시네요. 3일 걸렸나.",1
"기능이 정말 다양하네요. 제가 원했던 기능 빼고 다 있는 것 같아요",1
"그렇게 잘했으면 대통령도 해먹겠네",1
"와, 진짜 천재네. 이 정도면 노벨상감이야.",1
"그렇게 빨리 끝냈으면 상이라도 줘야지.",1
"이 정도면 회의록 대신 코미디쇼 찍을 수 있겠어.",1
"동생아, 네가 천재면 난 우주인이지.",1
"나쁜 뜻은 없었어.",1
"내가 너랑 같냐",1
"그럼 이걸 그냥 들고 가요?",1
"엄청 바빠보이네, 정신 좀 챙기고 다녀~",1
"제가 감히 어떻게 그런 의견을 내겠어요.",1
"후배님은 참 해맑아서 좋아",1
"역시 대기업 출신이라 다르시네요",1
"오늘따라 의욕이 넘치시네요. 무슨 좋은 일 있어요?",1
"주말에 푹 쉬었나봐? 얼굴이 아주 좋아 보이네",1
"우리 막내는 일 시키면 대답은 참 잘해.",1
"어쩜 그렇게 꼼꼼하세요?",1
"법 없이도 살 사람이야, 아주",1
"어쩜 그렇게 화장하는 법이 예쁘니? 아주 독창적이야.",1
"글씨체가 참 예쁘네요. 아무도 못 알아보겠어요.",1
"참 예쁘기도 하다. 누가 시키지도 않은 짓을 하고 다니네.",1
"머리 새로 했네? 아주 예쁘다. 미용실 어디야, 다시는 안 가게.",1
"그렇게 차려입으니까 정말 예뻐 보인다. 평소에도 좀 그렇게 다녀.",1
"예쁘면 다야?",1
"얼굴만 예쁘면 뭐하니.",1
"손톱 예쁘네. 집안일은 하나도 안 하나 봐.",1
"참 예쁜 생각만 하고 사나 봐.",1
"마음씨도 얼굴만큼만 예뻤으면 좋겠다.",1
"예쁜 애들은 성격이 별로라더니.",1
"저렇게 예쁜데 왜 남자친구가 없을까?",1
"목소리도 예뻤으면 완벽했을 텐데.",1
"그 나이에 그 정도면 예쁜 거지.",1
"자세한 설명 정말 감사합니다. 이해가 쏙쏙 됐어요.",0
"이번 영상 퀄리티 정말 좋네요. 잘 봤습니다.",0
"쉽게 알려주신 덕분에 너무 재미있게 배웠습니다.",0
"이 제품 정말 마음에 들어요. 추천합니다!",0
"앞으로도 항상 응원하겠습니다. 화이팅!",0
"어려운 부탁이었는데 들어주셔서 진심으로 감사합니다.",0
"오늘 코디 너무 예뻐요!",0
"보내주신 자료가 큰 도움이 되었습니다.",0
"작가님 글은 언제나 따뜻해서 좋아요.",0
"노래가 너무 좋아서 계속 반복해서 듣고 있어요.",0
"궁금했던 점이 시원하게 해결됐습니다.",0
"피드백 주셔서 감사합니다. 바로 수정하겠습니다.",0
"팀원들 덕분에 프로젝트를 잘 마칠 수 있었습니다.",0
"배려해주신 덕분에 편하게 일했습니다.",0
"오늘 정말 즐거운 하루였어요.",0
"발표 자료가 정말 깔끔하고 보기 좋네요.",0
"포기하지 않으면 꼭 좋은 결과 있을 거예요.",0
"시간 괜찮으실 때 잠시 이야기 나눌 수 있을까요?",0
"격려의 말씀 덕분에 힘이 납니다.",0
"궁금한 점이 생기면 언제든지 다시 물어보겠습니다.",0
"이해가 안 됐는데 다시 설명해주실 수 있나요?",0
"오늘 알려주신 팁 정말 유용했어요.",0
"부족한 점이 많았는데 좋게 봐주셔서 감사합니다.",0
"정말 존경스럽습니다. 많이 배우고 싶어요.",0
"함께 일하게 되어 정말 기쁩니다.",0
"날씨가 좋은데 산책이라도 다녀오세요.",0
"오늘 회의에서 나온 의견 정말 좋았습니다.",0
"다들 고생하셨습니다. 먼저 들어가 보겠습니다.",0
"도와주셔서 감사합니다. 덕분에 금방 끝냈어요.",0
"식사 맛있게 하세요!",0
"보고서 내용이 아주 논리적이고 명확해서 이해하기 쉬웠습니다.",0
"이번 프로젝트를 진행하면서 보여주신 리더십에 많이 배웠습니다.",0
"바쁘신데도 시간을 내어 피드백 주셔서 정말 감사합니다.",0
"선배님 덕분에 회사 생활에 더 빨리 적응할 수 있었어요.",0
"신입인데도 이렇게 잘 해내는 걸 보니 장래가 기대되네요.",0
"회의 때 제시해주신 아이디어 덕분에 좋은 방향으로 결정할 수 있었습니다.",0
"항상 팀 분위기를 긍정적으로 만들어주셔서 감사합니다.",0
"이 부분은 제가 미처 생각하지 못했는데, 지적해주셔서 큰 도움이 됐습니다.",0
"함께 일할 수 있어서 정말 영광이고, 즐거웠습니다.",0
"어려운 문제였는데, 끝까지 포기하지 않고 해결하는 모습이 정말 인상 깊었어요.",0
"업무 처리 속도가 정말 빠르고 정확하시네요.",0
"동료들을 챙겨주는 세심한 마음에 항상 감동받습니다.",0
"이 분야에 대한 전문성과 지식이 정말 대단하신 것 같아요.",0
"오늘 발표 정말 최고였어요. 준비 많이 하신 게 느껴졌습니다.",0
"성장하는 모습이 눈에 보여서 제 일처럼 기쁩니다.",0
"항상 솔선수범하는 모습을 보여주셔서 존경스럽습니다.",0
"막내인데도 궂은일 마다하지 않고 열심히 해줘서 정말 고마워요.",0
"이메일 답변을 항상 빠르고 친절하게 해주셔서 감사합니다.",0
"다음 프로젝트도 꼭 같이 하고 싶습니다.",0
"제가 부족한 점이 많은데도 잘 이끌어주셔서 감사합니다.",0
"너랑 있으면 시간 가는 줄 모르겠어. 정말 재미있어.",0
"언제나 내 편이 되어주고, 내 이야기를 들어줘서 고마워.",0
"힘든 일 있을 때 네가 옆에 있어줘서 정말 큰 힘이 됐어.",0
"너의 긍정적인 에너지가 나에게도 좋은 영향을 주는 것 같아.",0
"오늘 네가 한 선택, 정말 멋지고 용감하다고 생각해.",0
"무슨 일이 있어도 나는 항상 널 믿고 응원할 거야.",0
"네 웃는 모습만 봐도 기분이 좋아져.",0
"작은 것까지 기억하고 챙겨줘서 정말 고마워.",0
"너라는 친구를 만난 건 내 인생의 큰 행운이야.",0
"부모님, 항상 저를 믿고 지지해주셔서 감사합니다. 사랑해요.",0
"네가 있어서 얼마나 든든한지 몰라.",0
"오늘 힘든 일 있었을 텐데, 정말 고생 많았어.",0
"너의 장점을 닮고 싶다는 생각을 자주 해.",0
"솔직하게 이야기해줘서 고마워. 오해할 뻔했어.",0
"너의 목표를 향해 꾸준히 노력하는 모습이 정말 멋져.",0
"있는 그대로의 너를 정말 아끼고 좋아해.",0
"깜짝 선물 고마워. 어떻게 내 취향을 이렇게 잘 알아?",0
"네 덕분에 새로운 것을 많이 경험해볼 수 있었어.",0
"힘든 결정이었을 텐데, 너의 용기를 응원해.",0
"그냥, 문득 네 생각이 나서 연락했어. 잘 지내지?",0
"음식이 정말 맛있었어요! 다음에 친구들이랑 또 방문할게요.",0
"사장님이 정말 친절하셔서 기분 좋게 쇼핑하고 갑니다.",0
"배송도 빠르고 포장도 꼼꼼하게 와서 정말 만족합니다.",0
"제품 품질이 기대 이상이네요. 잘 쓰겠습니다.",0
"상담사님이 제 상황을 잘 이해하고 친절하게 설명해주셔서 문제가 잘 해결됐어요.",0
"매장 인테리어가 정말 예뻐서 사진을 계속 찍게 되네요.",0
"재료를 아끼지 않고 듬뿍 넣어주셔서 정말 맛있게 먹었습니다.",0
"가격도 합리적이고 품질도 좋아서 재구매 의사 있습니다.",0
"문의 글 남겼는데 이렇게 빨리 답변해주실 줄 몰랐어요. 감사합니다.",0
"옷감이 정말 부드럽고 몸에 잘 맞아서 마음에 쏙 듭니다.",0
"실제로 보니 사진보다 훨씬 더 예쁘네요.",0
"숙소가 정말 깨끗하고 편안해서 잘 쉬다 갑니다.",0
"설명해주신 대로 따라 하니 문제가 금방 해결됐어요.",0
"다른 곳보다 훨씬 저렴하게 잘 산 것 같아요.",0
"샘플도 넉넉하게 챙겨주셔서 감사합니다. 잘 써볼게요.",0
"앞으로도 계속 번창하셨으면 좋겠습니다.",0
"택배 기사님, 늦은 시간까지 배송해주셔서 감사합니다.",0
"머리 스타일이 정말 마음에 들어요. 디자이너님 실력이 최고예요.",0
"이런 좋은 제품을 만들어주셔서 감사합니다.",0
"친구에게도 자신 있게 추천할 수 있을 것 같아요.",0
"오늘 입은 옷, 너한테 정말 잘 어울린다.",0
"웃는 모습이 정말 예뻐요.",0
"강아지가 정말 똑똑하고 귀엽네요.",0
"글을 정말 흡입력 있게 잘 쓰시네요. 다음 편도 기대됩니다.",0
"그림의 색감이 정말 따뜻하고 포근한 느낌을 줘요.",0
"목소리가 정말 좋으세요. 신뢰감이 느껴져요.",0
"어려운 부탁인데도 흔쾌히 도와주셔서 정말 감사합니다.",0
"사진 구도가 정말 독특하고 멋지네요.",0
"긍정적으로 생각하는 모습이 정말 보기 좋아요.",0
"모르는 사이인데도 친절하게 길을 알려주셔서 감사합니다.",0
"직접 만드셨다고요? 손재주가 정말 좋으시네요.",0
"필기한 내용 좀 빌릴 수 있을까? 글씨를 정말 예쁘게 잘 쓴다.",0
"처음인데도 정말 잘하시네요. 재능 있으신 것 같아요.",0
"아이디어가 정말 신선하고 창의적이네요.",0
"항상 열심히 하는 모습이 정말 보기 좋습니다.",0
"사람들 앞에서 발표하는 게 떨렸을 텐데, 침착하게 잘 해냈어요.",0
"운동을 꾸준히 하시는 모습이 정말 대단해요.",0
"말씀하시는 걸 들으니 생각이 깊은 분이라는 게 느껴져요.",0
"요리를 정말 잘하시네요. 식당에서 파는 것보다 맛있어요.",0
"덕분에 오늘 하루를 즐겁게 시작할 수 있었어요.",0
"오늘따라 유난히 더 예뻐 보이네.",0
"너는 웃는 모습이 제일 예뻐.",0
"꾸미지 않은 수수한 모습도 충분히 예뻐.",0
"글씨체가 동글동글해서 참 예쁘다.",0
"말을 참 예쁘게 하네요.",0
"그런 생각을 하는 마음씨가 정말 예쁘다.",0
"여기 풍경 정말 예쁘다. 너랑 같이 와서 더 좋아.",0
"네가 선물해준 거라 그런지 더 예뻐 보여.",0
"눈이 참 예쁘시네요. 보석 같아요.",0
"아이가 엄마를 닮아서 정말 예쁘네요.",0
"정성스럽게 포장한 걸 보니 마음이 더 예쁘다.",0
"오늘 입은 옷, 색깔이 너랑 잘 어울려서 예뻐.",0
"노력하는 모습이 정말 예뻐 보여.",0
"다른 사람을 챙겨주는 모습이 보기 좋고 예뻤어.",0
"꽃이 정말 예쁘게 피었네.",0
"새로 산 신발 예쁘다! 어디서 샀어?",0
"있는 그대로의 모습이 가장 예뻐.",0
"어색하게 웃는 모습마저도 예쁘다.",0
